Viešbutis,Salė,Plotas (kv. m.),Pobūviams,Konferencijoms,Viet. išdėst. ir sk.,Įranga
BEST WESTERN VILNIUS,Marmuro,57,Y,Y,Teatro stilius: 50; Klasės stilius: 40; U stilius: 28; Apvalaus stalo stilius: 30; Banketo stilius: 28,"CD grotuvas, DVD grotuvas, Diktofonas, Ekranas, Grafinis projektorius, Interneto ryšys, Kompiuteris, Lazerinė rodyklė, Mikrofonas, Multimedia, Oro kondicionierius, Popierius, Rašymo lenta, Scena, Sinchroninis vertimas, Skaidrių projektorius, TV, Telefonas, Tribūna, Video grotuvas, Įranga garso įrašymui"
BEST WESTERN VILNIUS,Posėdžių salė,13,Y,Y,Apvalaus stalo stilius: 10,"CD grotuvas, DVD grotuvas, Diktofonas, Ekranas, Grafinis projektorius, Interneto ryšys, Lazerinė rodyklė, Mikrofonas, Multimedia, Skaidrių projektorius, TV, Telefonas, Video grotuvas"
BEST WESTERN VILNIUS,Stiklo A,165,Y,Y,Teatro stilius: 220; Klasės stilius: 150; U stilius: 70; Apvalaus stalo stilius: 80; Banketo stilius: 200,"CD grotuvas, DVD grotuvas, Diktofonas, Ekranas, Grafinis projektorius, Interneto ryšys, Kompiuteris, Lazerinė rodyklė, Mikrofonas, Multimedia, Oro kondicionierius, Popierius, Rašymo lenta, Scena, Sinchroninis vertimas, Skaidrių projektorius, TV, Telefonas, Tribūna, Video grotuvas, Įranga garso įrašymui"
BEST WESTERN VILNIUS,Stiklo A+B,366,Y,Y,Teatro stilius: 420; Klasės stilius: 268; U stilius: 110; Apvalaus stalo stilius: 58; Banketo stilius: 280,"CD grotuvas, DVD grotuvas, Diktofonas, Ekranas, Grafinis projektorius, Interneto ryšys, Kompiuteris, Lazerinė rodyklė, Mikrofonas, Multimedia, Oro kondicionierius, Popierius, Rašymo lenta, Scena, Sinchroninis vertimas, Skaidrių projektorius, TV, Telefonas, Tribūna, Video grotuvas, Įranga garso įrašymui"
BEST WESTERN VILNIUS,Stiklo B,119,Y,Y,Teatro stilius: 180; Klasės stilius: 130; U stilius: 50; Apvalaus stalo stilius: 60; Banketo stilius: 100,"CD grotuvas, DVD grotuvas, Diktofonas, Ekranas, Grafinis projektorius, Interneto ryšys, Kompiuteris, Lazerinė rodyklė, Mikrofonas, Multimedia, Oro kondicionierius, Popierius, Rašymo lenta, Scena, Sinchroninis vertimas, Skaidrių projektorius, TV, Telefonas, Tribūna, Video grotuvas, Įranga garso įrašymui"
CENTRE HOTEL NUOVA,,,Y,Y,Teatro stilius: 40; Klasės stilius: 40; U stilius: 60; Apvalaus stalo stilius: 30,"Interneto ryšys, Multimedia, Rašymo lenta, TV, Video grotuvas"
CITY GATE,Didžioji salė,,,Y,Teatro stilius: 50; Klasės stilius: 30; U stilius: 22; Apvalaus stalo stilius: 30; Banketo stilius: 24,"Ekranas, Interneto ryšys, Kompiuteris, Multimedia, Rašymo lenta, Telefonas"
CITY GATE,Mažoji salė,,,Y,Teatro stilius: 12,"Ekranas, Interneto ryšys, Kompiuteris, Mikrofonas, Multimedia, Rašymo lenta, Telefonas"
CITY PARK HOTEL,City hall,90,Y,Y,Teatro stilius: 80; Klasės stilius: 42; U stilius: 32; Apvalaus stalo stilius: 36; Banketo stilius: 80,"CD grotuvas, Ekranas, Grafinis projektorius, Interneto ryšys, Mikrofonas, Multimedia, Oro kondicionierius, Rašymo lenta, Sinchroninis vertimas, TV, Tribūna, Video grotuvas"
CITY PARK HOTEL,Park hall,90,Y,Y,Teatro stilius: 80; Klasės stilius: 42; U stilius: 32; Apvalaus stalo stilius: 36; Banketo stilius: 80,"CD grotuvas, Ekranas, Interneto ryšys, Mikrofonas, Multimedia, Oro kondicionierius, Rašymo lenta, Sinchroninis vertimas, TV, Tribūna, Video grotuvas"
COMFORT VILNIUS,Didžioji salė,,Y,Y,U stilius: 50,
COMFORT VILNIUS,Mažoji salė,,Y,Y,U stilius: 30,
CONGRESS,,,,Y,Teatro stilius: 70,"Ekranas, Mikrofonas, Multimedia, Skaidrių projektorius, TV, Video grotuvas"
CONGRESS,,,,Y,Klasės stilius: 50,"Ekranas, Mikrofonas, Multimedia, Skaidrių projektorius, TV, Video grotuvas"
CONTI,,,,Y,Teatro stilius: 120; Klasės stilius: 70; U stilius: 40,"Ekranas, Multimedia, Video projektorius"
CONTI,,,,Y,Teatro stilius: 250; Klasės stilius: 190; U stilius: 120,"Ekranas, Multimedia, Video projektorius"
CONTI,,,,Y,Teatro stilius: 50; Klasės stilius: 30; U stilius: 20,"Ekranas, Multimedia, Video projektorius"
CONTI,,,,Y,Teatro stilius: 160; Klasės stilius: 100; U stilius: 60,"Ekranas, Multimedia, Video projektorius"
CONTI,,,,Y,U stilius: 10,"Ekranas, Multimedia, Video projektorius"
CROWNE PLAZA VILNIUS,Koralinė A,86,Y,Y,Teatro stilius: 83; Klasės stilius: 32; U stilius: 28; Apvalaus stalo stilius: 28; Banketo stilius: 40,"CD grotuvas, DVD grotuvas, Diktofonas, Ekranas, Grafinis projektorius, Interneto ryšys, Kompiuteris, Lazerinė rodyklė, Mikrofonas, Multimedia, Oro kondicionierius, Popierius, Rašymo lenta, Sinchroninis vertimas, Skaidrių projektorius, TV, Telefonas, Tribūna, Video grotuvas, Įranga garso įrašymui"
CROWNE PLAZA VILNIUS,Koralinė (A+B),163,Y,Y,Teatro stilius: 156; Klasės stilius: 64; U stilius: 56; Apvalaus stalo stilius: 60; Banketo stilius: 80,"CD grotuvas, DVD grotuvas, Diktofonas, Ekranas, Grafinis projektorius, Interneto ryšys, Kompiuteris, Lazerinė rodyklė, Mikrofonas, Multimedia, Oro kondicionierius, Popierius, Rašymo lenta, Sinchroninis vertimas, Skaidrių projektorius, TV, Telefonas, Tribūna, Video grotuvas, Įranga garso įrašymui"
CROWNE PLAZA VILNIUS,Koralinė B,77,Y,Y,Teatro stilius: 73; Klasės stilius: 32; U stilius: 28; Apvalaus stalo stilius: 28; Banketo stilius: 40,"CD grotuvas, DVD grotuvas, Diktofonas, Ekranas, Grafinis projektorius, Interneto ryšys, Kompiuteris, Lazerinė rodyklė, Mikrofonas, Multimedia, Oro kondicionierius, Popierius, Rašymo lenta, Sinchroninis vertimas, Skaidrių projektorius, TV, Telefonas, Tribūna, Video grotuvas, Įranga garso įrašymui"
CROWNE PLAZA VILNIUS,Krištolinė,26,Y,Y,Apvalaus stalo stilius: 10,"CD grotuvas, DVD grotuvas, Diktofonas, Ekranas, Grafinis projektorius, Interneto ryšys, Kompiuteris, Lazerinė rodyklė, Mikrofonas, Multimedia, Oro kondicionierius, Popierius, Rašymo lenta, Sinchroninis vertimas, Skaidrių projektorius, TV, Telefonas, Tribūna, Video grotuvas, Įranga garso įrašymui"
CROWNE PLAZA VILNIUS,Malachitinė A,57,Y,Y,Klasės stilius: 12; U stilius: 20; Apvalaus stalo stilius: 20; Banketo stilius: 20,"CD grotuvas, DVD grotuvas, Diktofonas, Ekranas, Grafinis projektorius, Interneto ryšys, Kompiuteris, Lazerinė rodyklė, Mikrofonas, Multimedia, Oro kondicionierius, Popierius, Rašymo lenta, Sinchroninis vertimas, Skaidrių projektorius, TV, Telefonas, Tribūna, Video grotuvas, Įranga garso įrašymui"
